Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Tenure
731,PC - 3,Maddalena Margarette,Level 7,Location 1,Client Service Staff,Confirmed Staff,Tommy Muire,2016-12-31,Active,2021-11-30,2080,2052.0,2060.0,16.0,12.0,0.0,0.0,1.003898635477583,1795
732,PC - 2,Catlaina Sonni,Level 8,Location 9,Client Service Staff,Resigned,Imelda Madalena,2016-12-31,Resigned,2017-07-31,600,280.0,144.0,320.0,0.0,0.0,176.0,0.5142857142857142,212
733,PC - 1,Lucille Katrinka,Level 6,Location 3,Client Service Staff,Confirmed Staff,Ezmeralda Nisse,2016-12-31,Active,2021-11-30,2080,1820.0,1484.0,256.0,4.0,0.0,336.0,0.8153846153846154,1795
734,PC - 3,Merrile Libbi,Level 7,Location 1,Client Service Staff,Confirmed Staff,Gert Editha,2016-12-31,Active,2021-11-30,2080,1904.0,1912.0,120.0,56.0,0.0,0.0,1.004201680672269,1795
735,PC - 3,Janella Maureen,Level 8,Location 1,Client Service Staff,Confirmed Staff,Ali Elsinore,2016-12-31,Active,2021-11-30,2080,1855.5,2125.0,184.0,40.5,0.0,38.5,1.1452438695769334,1795
736,PC - 2,Sallie Kiah,Level 5,Location 7,Client Service Staff,Confirmed Staff,Trudey Lissi,2016-12-31,Active,2021-11-30,2080,1939.5,56.2,104.0,36.5,0.0,1883.3,0.028976540345449858,1795
737,PC - 3,Kerrin Miquela,Level 6,Location 1,Client Service Staff,Confirmed Staff,Nikolia Shirl,2016-12-31,Active,2021-11-30,2080,1860.0,1386.0,216.0,4.0,0.0,576.0,0.7451612903225806,1795
738,PC - 1,Hannie Tybi,Level 6,Location 3,Client Service Staff,Confirmed Staff,Vinni Calypso,2016-12-31,Active,2021-11-30,2080,1972.0,1828.0,104.0,4.0,0.0,144.0,0.9269776876267748,1795
739,PC - 1,Emmie Pavia,Level 6,Location 3,Client Service Staff,Confirmed Staff,Cherise Lainey,2016-12-31,Active,2021-11-30,2080,1915.0,1811.5,136.0,29.0,0.0,176.0,0.945953002610966,1795
740,PC - 3,Hedy Elora,Level 7,Location 1,Client Service Staff,Resigned,Orsa Margeaux,2017-01-31,Resigned,2018-02-28,1760,1582.0,1536.0,172.0,6.0,0.0,60.0,0.9709228824273072,393
741,PC - 2,Beatrix Daffi,Level 6,Location 9,Client Service Staff,Confirmed Staff,Jolyn Briney,2017-01-31,Active,2021-11-30,2080,1739.0,1701.5,320.0,21.0,0.0,237.5,0.9784358826912019,1764
742,PC - 3,Amanda Kara,Level 6,Location 1,Client Service Staff,Confirmed Staff,Nikolia Shirl,2017-01-31,Active,2021-11-30,2080,1984.0,2411.0,96.0,0.0,0.0,0.0,1.2152217741935485,1764
743,PC - 1,Lilly Devora,Level 7,Location 3,Client Service Staff,Confirmed Staff,Josey Rorie,2017-01-31,Active,2021-11-30,2080,1936.0,1927.0,144.0,0.0,0.0,42.0,0.9953512396694215,1764
744,PC - 1,Eden Carry,Level 6,Location 8,Client Service Staff,Confirmed Staff,Ardys Katerine,2017-01-31,Active,2021-11-30,2080,1821.75,1680.0,232.0,26.25,64.0,168.0,0.9221902017291066,1764
745,PC - 1,Josey Rorie,Level 5,Location 3,Client Service Staff,Confirmed Staff,Kippy Marquita,2017-01-31,Active,2021-11-30,2080,2040.0,920.0,40.0,0.0,1120.0,0.0,0.45098039215686275,1764
746,PC - 3,Kathlin Charis,Level 6,Location 1,Client Service Staff,Confirmed Staff,Nikolia Shirl,2017-01-31,Active,2021-11-30,2080,1916.0,1825.0,144.0,20.0,0.0,112.0,0.9525052192066806,1764
747,PC - 1,Larina Eileen,Level 8,Location 6,Client Service Staff,Confirmed Staff,Luciana Erika,2017-01-31,Active,2021-11-30,2080,1582.0,1020.0,490.0,8.0,0.0,622.0,0.6447534766118836,1764
748,PC - 3,Carrissa Germaine,Level 7,Location 4,Client Service Staff,Confirmed Staff,Hedi Elna,2017-01-31,Active,2021-11-30,2080,1734.0,1031.0,288.0,58.0,0.0,935.0,0.5945790080738178,1764
749,PC - 1,Charmion Suzy,Level 8,Location 3,Client Service Staff,Confirmed Staff,Lee Alfie,2017-01-31,Active,2021-11-30,2080,1843.0,1544.0,208.0,29.0,0.0,444.0,0.8377645143787303,1764
750,PC - 3,Rhianon Janey,Level 7,Location 1,Client Service Staff,Confirmed Staff,Tommy Muire,2017-01-31,Active,2021-11-30,2080,1851.0,1850.0,190.0,39.0,0.0,86.0,0.9994597514856834,1764
751,PC - 3,Gabrila Odele,Level 6,Location 1,Client Service Staff,Resigned,Agata Theodosia,2017-01-31,Resigned,2018-02-28,1888,1803.0,1500.0,64.0,21.0,201.0,432.0,0.831946755407654,393
753,PC - 2,Selma Ninnette,Level 6,Location 7,Client Service Staff,Confirmed Staff,Beverley Laney,2017-02-28,Active,2021-11-30,2080,1802.0,942.0,184.0,94.0,12.0,880.0,0.5227524972253053,1736
754,PC - 3,Dru Darleen,Level 7,Location 1,Client Service Staff,Confirmed Staff,Rosabel Saidee,2017-02-28,Active,2021-11-30,2080,1758.0,1030.0,296.0,26.0,0.0,736.5,0.5858930602957907,1736
755,PC - 2,Tamma Judye,Level 6,Location 7,Client Service Staff,Confirmed Staff,Willette Lil,2017-02-28,Active,2021-11-30,2080,2056.0,1992.0,16.0,8.0,0.0,64.0,0.9688715953307393,1736
756,PC - 2,Joyann Kellyann,Level 8,Location 7,Client Service Staff,Confirmed Staff,Mira Fiorenze,2017-02-28,Active,2021-11-30,2080,1784.0,1117.5,248.0,48.0,0.0,703.5,0.6264013452914798,1736
757,PC - 1,Orelia Dominique,Level 6,Location 3,Client Service Staff,Confirmed Staff,Ardys Katerine,2017-02-28,Active,2021-11-30,2080,1835.7,1836.0,240.0,4.3,0.0,0.0,1.0001634253963065,1736
758,PC - 3,Catriona Dolli,Level 8,Location 1,Client Service Staff,Resigned,Gert Editha,2017-03-31,Resigned,2017-12-31,1496,1296.0,872.0,200.0,0.0,0.0,448.0,0.6728395061728395,275
759,PC - 3,Shelba Sheena,Level 6,Location 1,Client Service Staff,Confirmed Staff,Ophelie Jyoti,2017-02-28,Active,2021-11-30,2080,1763.5,1669.5,304.0,12.5,0.0,160.0,0.9466969095548625,1736
760,PC - 3,Melanie Reyna,Level 7,Location 1,Client Service Staff,Confirmed Staff,Vanessa Zingaro,2017-02-28,Active,2021-11-30,2080,1887.5,408.0,160.0,32.5,0.0,1503.5,0.216158940397351,1736
761,PC - 2,Zena Octavia,Level 7,Location 7,Client Service Staff,Resigned,Josi Ula,2017-02-28,Resigned,2018-02-28,1792,1569.0,1260.0,176.0,47.0,0.0,317.0,0.8030592734225621,365
762,PC - 2,Kacey Lida,Level 8,Location 9,Client Service Staff,Confirmed Staff,Lenora Nydia,2017-02-28,Active,2021-11-30,2080,1770.5,1770.5,264.0,45.5,0.0,21.0,1.0,1736
763,PC - 2,Jennie Milicent,Level 7,Location 9,Client Service Staff,Confirmed Staff,Jolyn Briney,2017-02-28,Active,2021-11-30,2080,1705.5,1549.0,288.0,86.5,0.0,172.5,0.9082380533567869,1736
764,PC - 2,Melinde Ebonee,Level 7,Location 9,Client Service Staff,Confirmed Staff,Orelee Hanna,2017-02-28,Active,2021-11-30,2080,1854.5,1714.5,148.0,77.5,0.0,191.0,0.9245079536263143,1736
765,PC - 2,Ursula Wilmette,Level 7,Location 9,Client Service Staff,Confirmed Staff,Jolyn Briney,2017-02-28,Active,2021-11-30,2080,1771.5,1664.0,216.0,92.5,0.0,121.5,0.9393169630256845,1736
766,PC - 2,Dita Dulcea,Level 7,Location 7,Client Service Staff,Confirmed Staff,Klarrisa Theresita,2017-02-28,Active,2021-11-30,2080,1731.5,1417.0,328.0,20.5,0.0,386.5,0.818365578977765,1736
767,PC - 3,Dorena Mahalia,Level 8,Location 1,Client Service Staff,Confirmed Staff,Christina Desdemona,2017-02-28,Active,2021-11-30,2080,1815.5,1276.0,224.0,40.5,0.0,633.0,0.7028366841090609,1736
768,PC - 3,Xenia Madelina,Level 8,Location 1,Client Service Staff,Confirmed Staff,Christina Desdemona,2017-02-28,Active,2021-11-30,2080,1895.5,1200.0,152.0,32.5,0.0,751.0,0.6330783434450014,1736
769,PC - 3,Sharleen Dorise,Level 8,Location 1,Client Service Staff,Confirmed Staff,Christina Desdemona,2017-02-28,Active,2021-11-30,2080,1834.0,1438.75,208.0,38.0,0.0,553.0,0.7844874591057798,1736
770,PC - 3,Denice Sunny,Level 8,Location 1,Client Service Staff,Confirmed Staff,Christina Desdemona,2017-02-28,Active,2021-11-30,2080,1756.0,1253.41,280.0,44.0,0.0,715.0,0.7137870159453303,1736
771,PC - 3,Letitia Anthe,Level 8,Location 1,Client Service Staff,Confirmed Staff,Christina Desdemona,2017-02-28,Active,2021-11-30,2080,1881.0,1406.0,152.0,47.0,0.0,575.0,0.7474747474747475,1736
772,PC - 3,Modesty Hillary,Level 8,Location 1,Client Service Staff,Confirmed Staff,Christina Desdemona,2017-02-28,Active,2021-11-30,2080,1802.0,1294.0,248.0,30.0,0.0,579.0,0.7180910099889012,1736
773,PC - 2,Cody Ashlan,Level 5,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2017-02-28,Active,2021-11-30,2080,1773.75,412.75,260.0,46.25,0.0,1368.0,0.23269908386187457,1736
774,PC - 2,Cecil Luci,Level 7,Location 7,Client Service Staff,Confirmed Staff,Aimil Latisha,2017-02-28,Active,2021-11-30,2080,1787.5,1808.0,248.0,44.5,0.0,461.0,1.0114685314685314,1736
775,PC - 2,Shirley Jasmine,Level 6,Location 7,Client Service Staff,Confirmed Staff,Nancee Deirdre,2017-02-28,Active,2021-11-30,2080,1800.0,1492.0,240.0,40.0,0.0,308.0,0.8288888888888889,1736
776,PC - 3,Adelaide Robina,Level 8,Location 1,Client Service Staff,Serving Notice Period,Ophelie Jyoti,2017-03-31,Active,2021-11-30,2080,1860.5,1590.0,184.0,35.5,0.0,665.5,0.8546089760816985,1705
777,PC - 3,Robin Dido,Level 7,Location 1,Client Service Staff,Confirmed Staff,Ali Elsinore,2017-03-31,Active,2021-11-30,2080,1888.0,1658.0,128.0,64.0,0.0,397.0,0.878177966101695,1705
778,PC - 3,Eustacia Anna-Diane,Level 6,Location 1,Client Service Staff,Resigned,Hedi Elna,2017-03-31,Resigned,2018-02-28,1848,1649.0,1377.0,184.0,15.0,0.0,304.0,0.8350515463917526,334
779,PC - 1,Miriam Dot,Level 6,Location 8,Client Service Staff,Confirmed Staff,Rina Debee,2017-03-31,Active,2021-11-30,2080,1893.0,1696.0,176.0,11.0,0.0,277.0,0.895932382461701,1705
780,PC - 1,Rosene Nicoli,Level 7,Location 8,Client Service Staff,Confirmed Staff,Lindy Marguerite,2017-03-31,Active,2021-11-30,2080,1872.0,1200.0,200.0,8.0,0.0,672.0,0.6410256410256411,1705
781,PC - 2,Francyne Brena,Level 5,Location 7,Client Service Staff,Resigned,-,2017-03-31,Resigned,2017-12-31,1440,1276.0,163.0,144.0,20.0,0.0,1113.0,0.12774294670846395,275
782,PC - 2,Shell Ruperta,Level 7,Location 7,Client Service Staff,Confirmed Staff,Josi Ula,2017-03-31,Active,2021-11-30,2080,1902.5,2156.0,144.0,33.5,0.0,72.0,1.133245729303548,1705
783,PC - 3,Caressa Carolann,Level 7,Location 2,Client Service Staff,Confirmed Staff,Prudi Delly,2017-03-31,Active,2021-11-30,2080,1807.0,1736.5,200.0,73.0,0.0,183.5,0.9609850581073602,1705
784,PC - 2,Lurleen Joela,Level 7,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2017-03-31,Active,2021-11-30,2080,1773.75,1981.0,208.0,98.25,6.0,265.5,1.1168428470754053,1705
785,PC - 3,Maurine Jessika,Level 7,Location 1,Client Service Staff,Confirmed Staff,Gert Editha,2017-03-31,Active,2021-11-30,2080,1952.0,1952.0,96.0,32.0,0.0,0.0,1.0,1705
786,PC - 3,Ainsley Benedetta,Level 8,Location 1,Client Service Staff,Resigned,Kristina Alleen,2017-03-31,Resigned,2017-09-30,984,808.0,705.0,128.0,48.0,0.0,248.0,0.8725247524752475,183
787,PC - 3,Calli Celene,Level 8,Location 2,Client Service Staff,Confirmed Staff,Leonanie Lexine,2017-03-31,Active,2021-11-30,2080,1880.0,1256.0,200.0,0.0,0.0,640.0,0.6680851063829787,1705
788,PC - 3,Myrna Brianna,Level 7,Location 4,Client Service Staff,Resigned,Hedi Elna,2017-03-31,Resigned,2018-01-31,1600,1528.0,1384.0,72.0,0.0,0.0,312.0,0.9057591623036649,306
789,PC - 3,Bibbye Isabelle,Level 7,Location 1,Client Service Staff,Confirmed Staff,Libbey Rita,2017-03-31,Active,2021-11-30,2080,1664.0,1554.0,392.0,24.0,0.0,200.0,0.9338942307692307,1705
799,PC - 1,Mickey Cid,Level 8,Location 3,Client Service Staff,Resigned,Luciana Erika,2017-04-30,Resigned,2017-07-31,536,511.0,312.0,8.0,17.0,0.0,229.0,0.6105675146771037,92
800,PC - 2,Lashay Dieterich,Level 7,Location 7,Client Service Staff,Confirmed Staff,Kati Rosalyn,2017-04-30,Active,2021-11-30,2080,1784.5,1340.0,184.0,111.5,0.0,704.0,0.7509106192210703,1675
801,PC - 2,Young Castellon,Level 7,Location 7,Client Service Staff,Confirmed Staff,Naomi Rebekah,2017-04-30,Active,2021-11-30,2080,1729.5,1544.0,232.0,118.5,120.0,236.0,0.8927435675050592,1675
802,PC - 2,Florine Sassman,Level 7,Location 7,Client Service Staff,Confirmed Staff,Naomi Rebekah,2017-04-30,Active,2021-11-30,2080,1732.5,1516.0,216.0,131.5,104.0,262.0,0.8750360750360751,1675
803,PC - 2,Eugenio Damato,Level 7,Location 7,Client Service Staff,Confirmed Staff,Naomi Rebekah,2017-04-30,Active,2021-11-30,2080,1758.5,1755.0,208.0,113.5,0.0,34.0,0.9980096673301109,1675
804,PC - 2,Aleida Brose,Level 7,Location 7,Client Service Staff,Confirmed Staff,Grata Rochella,2017-04-30,Active,2021-11-30,2080,1782.0,1710.0,200.0,98.0,0.0,269.0,0.9595959595959596,1675
1107,PC - 2,Cosette Lavena,Level 5,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,2017-04-30,Active,2021-11-30,2080,1786.5,761.0,200.0,93.5,0.0,1095.5,0.42597257206829,1675
805,PC - 2,Monty Petrin,Level 7,Location 9,Client Service Staff,Resigned,Imelda Madalena,2017-04-30,Resigned,2017-12-31,1520,1453.5,1437.0,40.0,26.5,120.0,82.0,0.9886480908152735,245
806,PC - 3,Shoshana Willeford,Level 6,Location 1,Client Service Staff,Resigned,Hedi Elna,2017-04-30,Resigned,2017-09-30,864,757.0,731.0,59.0,48.0,0.0,60.0,0.9656538969616909,153
807,PC - 3,Lionel Hennessy,Level 6,Location 2,Client Service Staff,Confirmed Staff,Kynthia Hildy,2017-04-30,Active,2021-11-30,2040,1858.0,1376.0,112.0,70.0,0.0,701.0,0.7405812701829925,1675
808,PC - 2,Alden Filippini,Level 7,Location 9,Client Service Staff,Confirmed Staff,Imelda Madalena,2017-04-30,Active,2021-11-30,2040,1692.0,1647.5,232.0,116.0,40.0,279.5,0.9736997635933806,1675
809,PC - 2,Edna Caso,Level 7,Location 9,Client Service Staff,Confirmed Staff,Imelda Madalena,2017-04-30,Active,2021-11-30,2040,1780.0,1574.0,200.0,60.0,0.0,237.0,0.8842696629213483,1675
810,PC - 2,Elinor Cully,Level 7,Location 7,Client Service Staff,Confirmed Staff,Chris Ricky,2017-04-30,Active,2021-11-30,2040,1754.5,1741.0,192.0,93.5,0.0,72.0,0.9923055001424907,1675
811,PC - 2,Natashia Buss,Level 7,Location 7,Client Service Staff,Confirmed Staff,Dannie Clotilda,2017-04-30,Active,2021-11-30,2040,1779.5,1826.0,152.0,108.5,0.0,69.5,1.0261309356560833,1675
812,PC - 3,Leonel Tittle,Level 7,Location 1,Client Service Staff,Confirmed Staff,Ali Elsinore,2017-04-30,Active,2021-11-30,2040,1511.5,1139.0,444.0,84.5,0.0,472.0,0.7535560701290109,1675
813,PC - 2,Marlin Martensen,Level 7,Location 7,Client Service Staff,Confirmed Staff,Ruthe Bellina,2017-04-30,Active,2021-11-30,2040,1828.5,816.0,120.0,91.5,0.0,1037.0,0.44626743232157506,1675
814,PC - 2,Inell Ceaser,Level 7,Location 7,Client Service Staff,Confirmed Staff,Aimil Latisha,2017-04-30,Active,2021-11-30,2040,1670.0,1732.0,224.0,146.0,0.0,425.0,1.037125748502994,1675
815,PC - 2,Katharina Christoff,Level 7,Location 7,Client Service Staff,Confirmed Staff,Mira Fiorenze,2017-04-30,Active,2021-11-30,2040,1674.5,584.0,224.0,141.5,0.0,1158.0,0.348760824126605,1675
816,PC - 2,Deedee Smeltzer,Level 7,Location 7,Client Service Staff,Confirmed Staff,Aimil Latisha,2017-04-30,Active,2021-11-30,2040,1703.5,1672.0,224.0,112.5,0.0,72.0,0.9815086586439683,1675
817,PC - 1,Latosha Bierbaum,Level 3,Location 3,Client Service Staff,Confirmed Staff,Cacilia Aimee,2017-04-30,Active,2021-11-30,2040,1796.0,100.0,208.0,36.0,1651.0,56.0,0.0556792873051225,1675
818,PC - 2,Le Wolcott,Level 7,Location 7,Client Service Staff,Confirmed Staff,Libby Bowen,2017-04-30,Active,2021-11-30,2040,1945.5,1692.0,72.0,22.5,0.0,707.0,0.8696993060909792,1675
819,PC - 2,Trent Bernardini,Level 7,Location 7,Client Service Staff,Confirmed Staff,Cassandra Katerina,2017-04-30,Active,2021-11-30,2040,1784.5,628.0,176.0,79.5,0.0,1382.0,0.3519193051274867,1675
820,PC - 3,Tambra Meza,Level 7,Location 4,Client Service Staff,Confirmed Staff,Danette Melinda,2017-04-30,Active,2021-11-30,2000,1731.0,1604.0,160.0,109.0,0.0,287.0,0.926632004621606,1675
821,PC - 3,Noemi Marston,Level 7,Location 1,Client Service Staff,Confirmed Staff,Yolanthe Laurella,2017-04-30,Active,2021-11-30,2000,1699.5,1512.0,208.0,92.5,0.0,345.5,0.8896734333627537,1675
822,PC - 3,Jason Sequeira,Level 7,Location 1,Client Service Staff,Confirmed Staff,Hedi Elna,2017-04-30,Active,2021-11-30,2000,1790.5,596.0,168.0,41.5,0.0,1396.5,0.33286791399050547,1675
823,PC - 3,Donette Verne,Level 5,Location 1,Client Service Staff,Confirmed Staff,Latosha Bierbaum,2017-04-30,Active,2021-11-30,2000,1836.5,1516.0,128.0,35.5,0.0,462.0,0.825483256193847,1675
824,PC - 3,Carter Puff,Level 8,Location 1,Client Service Staff,Resigned,Landon Browning,2017-04-30,Resigned,2018-01-31,1560,1274.0,1156.0,248.0,38.0,0.0,126.0,0.9073783359497645,276
825,PC - 3,Howard Nuckles,Level 5,Location 4,Client Service Staff,Resigned,Hedi Elna,2017-04-30,Resigned,2017-09-30,912,779.5,26.0,96.0,36.5,0.0,761.5,0.03335471456061578,153
826,PC - 1,Maryetta Monty,Level 7,Location 3,Client Service Staff,Confirmed Staff,Maria Aubrey,2017-04-30,Active,2021-11-30,2000,1752.0,1488.0,176.0,72.0,0.0,384.0,0.8493150684931506,1675
827,PC - 3,Ingeborg Nies,Level 6,Location 1,Client Service Staff,Confirmed Staff,Dottie Bidget,2017-04-30,Active,2021-11-30,2000,1689.0,1597.0,261.0,50.0,0.0,168.0,0.9455298993487271,1675
828,PC - 2,Vilma Vosburg,Level 8,Location 7,Client Service Staff,Confirmed Staff,Mira Fiorenze,2017-04-30,Active,2021-11-30,2000,1680.0,1035.0,232.0,88.0,0.0,677.0,0.6160714285714286,1675
829,PC - 1,Rudolph Yarnall,Level 7,Location 3,Client Service Staff,Resigned,-,2017-04-30,Resigned,2017-08-31,656,556.0,160.0,48.0,52.0,0.0,424.0,0.28776978417266186,123
830,PC - 2,Brenda Crandall,Level 6,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,2017-04-30,Active,2021-11-30,2000,1700.0,1546.0,224.0,76.0,0.0,230.0,0.9094117647058824,1675
831,PC - 2,Tina Cuneo,Level 7,Location 7,Client Service Staff,Confirmed Staff,Cassandra Katerina,2017-04-30,Active,2021-11-30,2000,1701.5,1436.5,208.0,90.5,0.0,337.5,0.8442550690567147,1675
832,PC - 2,Vina Landrith,Level 6,Location 7,Client Service Staff,Confirmed Staff,Beverley Laney,2017-04-30,Active,2021-11-30,1960,1668.0,1111.0,216.0,76.0,42.0,1066.0,0.6660671462829736,1675
833,PC - 1,Katharine Coll,Level 7,Location 8,Client Service Staff,Confirmed Staff,Josey Rorie,2017-05-31,Active,2021-11-30,1920,1590.0,1499.0,264.0,66.0,0.0,95.0,0.9427672955974843,1644
834,PC - 2,Hoyt Boudreaux,Level 7,Location 9,Client Service Staff,Confirmed Staff,Imelda Madalena,2017-05-31,Active,2021-11-30,1880,1596.0,2299.5,184.0,100.0,0.0,90.0,1.4407894736842106,1644
835,PC - 2,Donna Kyser,Level 7,Location 9,Client Service Staff,Confirmed Staff,Lenora Nydia,2017-05-31,Active,2021-11-30,1880,1590.5,1388.0,200.0,89.5,0.0,218.5,0.8726815466834329,1644
836,PC - 3,Gordon Donaldson,Level 7,Location 1,Client Service Staff,Confirmed Staff,Xylina Beatriz,2017-05-31,Active,2021-11-30,1880,1645.0,1305.0,168.0,67.0,0.0,604.0,0.7933130699088146,1644
837,PC - 3,Jayden Alvarado,Level 8,Location 1,Client Service Staff,Confirmed Staff,Yolanthe Laurella,2017-05-31,Active,2021-11-30,1840,1606.5,1167.0,112.0,121.5,0.0,488.0,0.7264239028944911,1644
838,PC - 3,Tyrell Pineda,Level 6,Location 1,Client Service Staff,Confirmed Staff,Nikolia Shirl,2017-05-31,Active,2021-11-30,1840,1768.0,1192.5,60.0,12.0,0.0,599.0,0.6744909502262444,1644
839,PC - 3,Breanna Armstrong,Level 8,Location 1,Client Service Staff,Resigned,Orsa Margeaux,2017-05-31,Resigned,2017-10-31,920,845.0,640.0,56.0,19.0,0.0,397.0,0.757396449704142,153
840,PC - 1,Kellen Bridges,Level 7,Location 3,Client Service Staff,Confirmed Staff,Josey Rorie,2017-05-31,Active,2021-11-30,1840,1576.0,1419.8000000000002,200.0,64.0,0.0,156.20000000000002,0.9008883248730966,1644
841,PC - 1,Jordin Conway,Level 7,Location 3,Client Service Staff,Confirmed Staff,Cynthia Leonora,2017-05-31,Active,2021-11-30,1840,1705.5,1614.0,76.0,58.5,0.0,540.0,0.9463500439753738,1644
842,PC - 1,Avery Griffin,Level 8,Location 3,Client Service Staff,Confirmed Staff,Sheila Papagena,2017-05-31,Active,2021-11-30,1840,1569.75,1432.0,176.0,94.25,0.0,367.0,0.9122471731167383,1644
843,PC - 1,Deegan Rosales,Level 7,Location 3,Client Service Staff,Confirmed Staff,Vinni Calypso,2017-05-31,Active,2021-11-30,1840,1615.0,1524.0,160.0,65.0,0.0,115.0,0.9436532507739938,1644
844,PC - 1,Erin Cantu,Level 7,Location 8,Client Service Staff,Confirmed Staff,Jillana Vivi,2017-05-31,Active,2021-11-30,1840,1669.0,1168.0,104.0,67.0,0.0,508.0,0.6998202516476932,1644
845,PC - 1,Alicia Sexton,Level 7,Location 3,Client Service Staff,Confirmed Staff,Jillana Vivi,2017-05-31,Active,2021-11-30,1840,1593.0,1360.0,144.0,103.0,0.0,261.0,0.8537350910232266,1644
846,PC - 1,Cooper Stevens,Level 7,Location 3,Client Service Staff,Confirmed Staff,Conni Athene,2017-05-31,Active,2021-11-30,1840,1564.0,1596.0,192.0,84.0,0.0,29.0,1.020460358056266,1644
847,PC - 1,Tomas Ramirez,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,2017-05-31,Active,2021-11-30,1840,1574.0,1419.0,200.0,66.0,48.0,132.0,0.9015247776365947,1644
848,PC - 1,Kamryn Miranda,Level 7,Location 3,Client Service Staff,Confirmed Staff,Margo Opaline,2017-05-31,Active,2021-11-30,1840,1611.75,1588.0,144.0,84.25,0.0,91.5,0.9852644640918257,1644
849,PC - 1,Isabela Sloan,Level 7,Location 3,Client Service Staff,Confirmed Staff,Jillana Vivi,2017-05-31,Active,2021-11-30,1840,1663.5,1416.0,112.0,64.5,0.0,322.0,0.8512173128944995,1644
850,PC - 1,Gwendolyn Mccarty,Level 7,Location 3,Client Service Staff,Confirmed Staff,Margo Opaline,2017-05-31,Active,2021-11-30,1840,1624.0,1180.0,128.0,88.0,0.0,576.0,0.7266009852216748,1644
851,PC - 1,Keshawn Peterson,Level 7,Location 3,Client Service Staff,Confirmed Staff,Jillana Vivi,2017-05-31,Active,2021-11-30,1840,1571.5,1466.0,200.0,68.5,0.0,427.5,0.9328666878778238,1644
852,PC - 2,Leroy French,Level 7,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2017-05-31,Active,2021-11-30,1840,1688.0,1798.0,72.0,80.0,0.0,362.0,1.0651658767772512,1644
853,PC - 3,Cassidy Barnett,Level 8,Location 1,Client Service Staff,Confirmed Staff,Yolanthe Laurella,2017-05-31,Active,2021-11-30,1800,1480.0,1302.0,224.0,96.0,0.0,474.0,0.8797297297297297,1644
854,PC - 3,Peyton Swanson,Level 8,Location 4,Client Service Staff,Confirmed Staff,Mathilda Tomi,2017-05-31,Active,2021-11-30,1800,1510.0,1342.0,208.0,82.0,0.0,180.0,0.8887417218543047,1644
855,PC - 3,Landon Browning,Level 4,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,2017-05-31,Active,2021-11-30,1800,1622.0,1073.0,152.0,26.0,0.0,549.0,0.6615289765721332,1644
856,PC - 3,Everett Zavala,Level 8,Location 1,Client Service Staff,Confirmed Staff,Cordula Devan,2017-05-31,Active,2021-11-30,1800,1660.0,1660.0,128.0,12.0,0.0,32.0,1.0,1644
857,PC - 1,Reginald Dennis,Level 8,Location 3,Client Service Staff,Confirmed Staff,Donette Verne,2017-05-31,Active,2021-11-30,1800,1662.0,1269.0,104.0,34.0,0.0,437.0,0.7635379061371841,1644
858,PC - 3,Keyon Garza,Level 8,Location 1,Client Service Staff,Confirmed Staff,Yolanthe Laurella,2017-05-31,Active,2021-11-30,1800,1563.0,852.0,144.0,93.0,0.0,712.0,0.54510556621881,1644
859,PC - 2,Adrian Clayton,Level 7,Location 7,Client Service Staff,Confirmed Staff,Libby Bowen,2017-05-31,Active,2021-11-30,1800,1570.0,1446.0,176.0,54.0,0.0,327.0,0.9210191082802548,1644
860,PC - 2,Nash Barron,Level 7,Location 9,Client Service Staff,Confirmed Staff,Imelda Madalena,2017-06-30,Active,2021-11-30,1720,1531.5,1252.0,160.0,28.5,246.0,61.0,0.8174991838067255,1614
861,PC - 2,Myah Delgado,Level 6,Location 7,Client Service Staff,Confirmed Staff,Beverley Laney,2017-06-30,Active,2021-11-30,1720,1468.0,1336.0,224.0,28.0,0.0,145.0,0.9100817438692098,1614
862,PC - 3,Ibrahim Jensen,Level 7,Location 1,Client Service Staff,Confirmed Staff,Yolanthe Laurella,2017-06-30,Active,2021-11-30,1720,1434.0,1248.0,248.0,38.0,0.0,277.0,0.8702928870292888,1614
863,PC - 2,Liana Brewer,Level 6,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,2017-06-30,Active,2021-11-30,1720,1553.0,1480.0,96.0,71.0,0.0,128.0,0.952994204764971,1614
864,PC - 2,Jagger Kaiser,Level 8,Location 7,Client Service Staff,Resigned,Josi Ula,2017-06-30,Resigned,2018-01-31,1224,871.5,711.5,208.0,144.5,0.0,192.0,0.8164084911072863,215
865,PC - 2,Amare Beck,Level 8,Location 7,Client Service Staff,Confirmed Staff,Aimil Latisha,2017-06-30,Active,2021-11-30,1720,1403.5,1284.0,188.0,128.5,0.0,208.0,0.9148557178482366,1614
